DriverID,MaxNightsOvernightPerWeek,Max Load Pounds,Location,State,Annual Salary,Hourly Wage,Chunk,Start_location,End_location
JZE01,1,85000,Aberdeen,SD,0,40.75,1,"Aberdeen, SD","Aberdeen, SD"
MSW01,1,85000,Bismarck,ND,73500,0,1,"Bismarck, ND","Bismarck, ND"
1SH01,1,85000,Breckenridge,MN,0,39.25,1,"Breckenridge, MN","Breckenridge, MN"
K0T01,1,85000,Burnsville,MN,0,34.25,2,"Burnsville, MN","Burnsville, MN"
XCF02,1,85000,Burnsville,MN,0,40,2,"Burnsville, MN","Burnsville, MN"
KPT01A,1,90000,Casper,WY,0,33.75,2,"Casper, WY","Casper, WY"
TRX01,1,85000,Casselton,ND,0,38.25,2,"Casselton, ND","Casselton, ND"
KWN01,1,30000,Dayton,MN,0,42,2,"Dayton, MN","Dayton, MN"
K8V01,1,85000,Dayton,MN,81000,0,2,"Dayton, MN","Dayton, MN"
KLS02,4,85000,Dickinson,ND,0,32.75,2,"Dickinson, ND","Dickinson, ND"
AV101,1,53000,Fergus Falls,MN,0,41.25,2,"Fergus Falls, MN","Fergus Falls, MN"
MUF01,1,85000,Fergus Falls,MN,0,38,2,"Fergus Falls, MN","Fergus Falls, MN"
CI802,4,85000,Fergus Falls,MN,0,37.75,2,"Fergus Falls, MN","Fergus Falls, MN"
RT301,1,85000,Kindred,ND,0,38.25,2,"Kindred, ND","Kindred, ND"
D1P01,1,85000,Lisbon,ND,0,33.5,2,"Lisbon, ND","Lisbon, ND"
TDQ02,4,85000,Marshall,MN,0,34.5,2,"Marshall, MN","Marshall, MN"
JV001,1,85000,Missoula,MT,0,34.5,2,"Missoula, MT","Missoula, MT"
DWZ01,1,53000,Moorhead,MN,0,38.5,2,"Moorhead, MN","Moorhead, MN"
FSA02,4,85000,Moorhead,MN,78000,0,2,"Moorhead, MN","Moorhead, MN"
DOE01,4,85000,Rapid City,SD,0,39.25,2,"Rapid City, SD","Rapid City, SD"
AOI01,1,85000,Redfield,SD,0,38.5,2,"Redfield, SD","Redfield, SD"
MYO01,1,40000,Salt Lake City,UT,0,35.75,2,"Salt Lake City, UT","Salt Lake City, UT"
KGS01A,1,90000,Salt Lake City,UT,0,36.25,2,"Salt Lake City, UT","Salt Lake City, UT"
KGS01B,1,125000,Salt Lake City,UT,84000,0,2,"Salt Lake City, UT","Salt Lake City, UT"
OHH01,1,85000,Washburn,ND,0,36,2,"Washburn, ND","Washburn, ND"
MD001,1,85000,Webster,SD,0,39.75,2,"Webster, SD","Webster, SD"